lex,vec
playing,"[-0.45993998646736145, 0.5762699842453003, -0.09090700000524521, 0.015962999314069748, -0.16812999546527863, 0.1311500072479248, -0.2173299938440323, 0.10558000206947327, -0.12436000257730484, -0.695360004901886, 0.20464999973773956, 0.22606000304222107, 0.15276999771595, 0.07434699684381485, -0.3684200048446655, -0.3068299889564514, -0.15387000143527985, -0.22737999260425568, 0.45219001173973083, 0.12568999826908112, 0.33368000388145447, 0.2963300049304962, -0.3107900023460388, -0.05610400065779686, -0.24079999327659607, 0.23985999822616577, -0.14708000421524048, 0.0022728999610990286, -0.33114001154899597, 0.3890500068664551, -0.32528001070022583, -0.15025000274181366, 0.10952000319957733, -0.07205300033092499, -1.5839999914169312, -0.12095999717712402, 0.32343998551368713, 0.37397998571395874, -0.19756999611854553, 0.1987600028514862, 0.615880012512207, -0.4792799949645996, -0.20607000589370728, -0.4506300091743469, 0.2687099874019623, 0.29993999004364014, 0.8307999968528748, 0.2868500053882599, 0.07447600364685059, 0.008905800059437752, 0.37828999757766724, 0.06809999793767929, -0.2844800055027008, -0.09367399662733078, -0.08513499796390533, 0.11480999737977982, 0.08065400272607803, 0.3441300094127655, 0.7549200057983398, -0.19258999824523926, 0.11578000336885452, 0.019461000338196754, -0.10533999651670456, 0.051601000130176544, -0.01728300005197525, -0.5722799897193909, 0.300790011882782, -0.12634000182151794, 0.11954999715089798, -0.1729000061750412, 0.23808999359607697, -0.1401900053024292, 0.019065000116825104, 0.3567599952220917, -0.1526699960231781, -0.31380000710487366, 0.1287900060415268, 0.7586600184440613, 0.06196499988436699, -0.05384400114417076, 0.06124899908900261, -0.2024099975824356, 0.06766699999570847, -0.31856998801231384, 0.04546099901199341, -0.09677500277757645, -0.09966599941253662, 0.0746849998831749, 0.33757999539375305, 0.14093999564647675, 0.5410799980163574, 0.6076300144195557, 0.080424003303051, -0.033698998391628265, -0.22333000600337982, 0.4729999899864197, 0.1110600009560585, -0.6723999977111816, -0.1264200061559677, -0.9256500005722046, -0.34922999143600464, 0.1148499995470047, -0.4475800096988678, -0.5496900081634521, -0.3718799948692322, 0.81809002161026, 0.11213000118732452, 0.15102000534534454, -0.41058000922203064, 0.17513999342918396, 0.24312999844551086, -0.07502999901771545, -0.052990999072790146, 0.15789000689983368, 0.2921600043773651, -0.3260999917984009, 0.29440000653266907, -0.05246800184249878, -0.49248000979423523, -0.3322399854660034, -0.2725900113582611, -0.1595900058746338, 0.12723000347614288, 0.008764299564063549, -0.43248000741004944, -0.2926099896430969, 0.2867499887943268, -0.23463000357151031, 0.2059600055217743, -0.0704450011253357, -0.2504200041294098, 0.1680999994277954, -0.36612001061439514, -0.5888299942016602, 0.15172000229358673, -0.10588999837636948, 0.5094299912452698, 0.30114999413490295, -0.2992900013923645, 0.298909991979599, 0.1512800008058548, 0.18136000633239746, 0.1816900074481964, 0.3156700134277344, -0.23914000391960144, 0.27410000562667847, 0.16681000590324402, 0.14542999863624573, -0.39225998520851135, 0.08930099755525589, -0.44707998633384705, -0.5931000113487244, -0.7218800187110901, -0.0539419986307621, 0.2450300008058548, -0.5096099972724915, -0.2990100085735321, 0.1515900045633316, 0.11909999698400497, 0.6643900275230408, 0.4216899871826172, -0.5371400117874146, -0.45680999755859375, -0.332040011882782, 0.14969000220298767, -0.017890000715851784, -0.7135099768638611, 0.31512999534606934, 0.4294300079345703, -0.3165299892425537, -0.13691000640392303, 0.10767000168561935, -0.7610899806022644, 0.4636000096797943, -0.0657769963145256, 0.10852000117301941, -0.42570000886917114, -0.09547699987888336, -0.5853099822998047, 0.6878700256347656, -0.13726000487804413, 0.07711999863386154, 0.5698400139808655, -0.0018853000365197659, -0.18759000301361084, 0.05486699938774109, -0.43345001339912415, -0.251120001077652, 0.014084000140428543, -0.26006999611854553, 0.16976000368595123, 0.2050900012254715, 0.5437999963760376, -0.1200300008058548, -0.011870999820530415, -0.33302000164985657, 0.23366999626159668, 0.05183099955320358, 0.2059199959039688, -0.20202000439167023, 2.171799898147583, 0.47391998767852783, 0.20010000467300415, 0.013294000178575516, 0.23442000150680542, -0.04169199988245964, 0.3717600107192993, 0.33278998732566833, 0.149399995803833, -0.05150600150227547, 0.20205000042915344, 0.6442499756813049, -0.10268999636173248, 0.2898699939250946, 0.2930600047111511, 0.1348699927330017, 0.023288000375032425, 0.08702100068330765, -0.08035100251436234, -0.08097799867391586, -0.2958100140094757, -0.24974000453948975, -0.5380499958992004, -0.12054000049829483, -0.15967999398708344, 0.13036000728607178, -0.13926999270915985, -0.20268000662326813, -0.22830000519752502, 0.14975999295711517, 0.4448699951171875, -0.2513499855995178, 0.1723800003528595, -0.4985800087451935, 0.2355699986219406, 0.0412059985101223, -0.136680006980896, 0.6019799709320068, -0.04038799926638603, 0.4266600012779236, 0.3120900094509125, 0.33998000621795654, 0.1998700052499771, 0.20958000421524048, 0.04300300031900406, 0.17369000613689423, -0.5487200021743774, 0.22316999733448029, -0.06930600106716156, 0.26552000641822815, 0.5134099721908569, -0.1256600022315979, -0.09045100212097168, 0.07455900311470032, 0.1960500031709671, 0.13794000446796417, 0.35745999217033386, -0.19491000473499298, 0.059780001640319824, -0.0423710010945797, 0.12901000678539276, 0.12015999853610992, 0.029815999791026115, 0.3898000121116638, 0.31551000475883484, 0.04830300062894821, -0.0024476998951286077, -0.2805199921131134, -0.2893500030040741, -0.17098000645637512, 0.21814000606536865, -0.2229900062084198, 0.23778000473976135, -0.20924000442028046, 1.0748000144958496, -0.1116499975323677, -1.7311999797821045, -0.013078000396490097, -0.3094399869441986, 0.16795000433921814, -0.2303600013256073, 0.17883999645709991, -0.24790999293327332, 0.30713000893592834, 0.1675100028514862, 0.04799399897456169, -0.5563799738883972, 0.32738998532295227, -0.0106819998472929, -0.3136500120162964, -0.007845699787139893, 0.4728100001811981, -0.06062899902462959, 0.37024998664855957, 0.25661998987197876, 0.019378000870347023, 0.6800699830055237, -0.43814998865127563, -0.1185699999332428, -0.17363999783992767]"
reading,"[-0.37081000208854675, -0.3444800078868866, 0.12330000102519989, -0.43801000714302063, -0.02137799933552742, 0.09404999762773514, -0.032040998339653015, -0.16425000131130219, -0.13792000710964203, -1.055400013923645, -0.30946001410484314, -0.09136699885129929, 0.2901900112628937, 0.6734200119972229, 0.5250999927520752, 0.10919000208377838, 0.27750998735427856, -0.0595720000565052, 0.5463700294494629, -0.439300000667572, -0.03856699913740158, -0.5561400055885315, -0.36487001180648804, 0.2798199951648712, 0.3009999990463257, -0.4070099890232086, 0.22425000369548798, -0.2255599945783615, 0.5542299747467041, -0.11559999734163284, 0.16890999674797058, 0.27373000979423523, -0.017343999817967415, 0.5662000179290771, -1.5190000534057617, 0.08872800320386887, -0.7212799787521362, -0.6181100010871887, -0.24320000410079956, -0.3765299916267395, 0.2920899987220764, 0.18934999406337738, -0.39004001021385193, 0.07452099770307541, -0.271230012178421, 0.009593600407242775, 0.0818450003862381, 0.38530001044273376, -0.15812000632286072, -0.4421600103378296, 0.04645499959588051, 0.25303998589515686, 0.18151000142097473, -0.4331200122833252, -0.42618000507354736, -0.03441200032830238, 0.16652999818325043, -0.7790700197219849, 0.4658699929714203, 0.32784000039100647, 0.5719599723815918, -0.25960999727249146, 0.2872599959373474, 0.13760000467300415, -0.1695600003004074, -0.10079000145196915, 0.15643000602722168, 0.043202001601457596, -0.29142001271247864, 0.12665000557899475, 0.1077599972486496, -0.13342000544071198, -0.320499986410141, -0.31237998604774475, -0.022678999230265617, -0.04487000033259392, 0.1422100067138672, 0.6705700159072876, -0.12620000541210175, 0.0868230015039444, -0.012237999588251114, -0.3186500072479248, 0.08663800358772278, -0.04625000059604645, -0.14670999348163605, -0.07990700006484985, 0.40202000737190247, 0.4622200131416321, -0.09006699919700623, 0.8768100142478943, 0.13750000298023224, 0.3948099911212921, -0.3526799976825714, 0.09145700186491013, -0.014151000417768955, 0.5101500153541565, -0.13233999907970428, -0.08310499787330627, -0.07943099737167358, -0.6365600228309631, 0.14788000285625458, -0.34299999475479126, -0.05394599959254265, -0.3986299932003021, -0.3110100030899048, -0.32038000226020813, 0.5543100237846375, 0.19760000705718994, 0.5390700101852417, -0.17726999521255493, 0.32973000407218933, 0.2768299877643585, 0.38819000124931335, -0.09241499751806259, 0.08259999752044678, 0.0043390002101659775, -0.15196000039577484, -0.028749000281095505, 0.2306700050830841, -0.4298500120639801, -0.2309899926185608, 0.1555899977684021, 0.1177000030875206, 0.30476999282836914, -0.10802000015974045, -0.5608800053596497, -0.3628099858760834, -1.4014999866485596, 0.030896000564098358, -0.45521000027656555, -0.011454000137746334, -0.018353000283241272, -0.24803000688552856, 0.02495799958705902, 0.1438799947500229, 0.39173001050949097, -0.2311200052499771, 0.16687999665737152, -0.08409799635410309, 0.4528200030326843, 0.05707100033760071, -0.051523998379707336, 0.10642000287771225, -0.11902999877929688, -0.1292800009250641, 0.37404000759124756, -0.05524300038814545, 0.1362600028514862, 0.2560200095176697, -0.2020999938249588, -0.2320600003004074, 0.33671000599861145, -0.30461999773979187, 0.15740999579429626, 0.3956499993801117, -0.13300000131130219, -0.5380799770355225, 0.06504499912261963, 0.2754899859428406, -0.1377200037240982, 0.14026999473571777, -0.2548399865627289, 0.25165998935699463, -0.37459999322891235, 0.12585000693798065, -0.17961999773979187, -0.260670006275177, -0.15693999826908112, -0.017342999577522278, 0.5672000050544739, 0.09053999930620193, -0.6514300107955933, -0.6223300099372864, 0.3321399986743927, 0.22923000156879425, -0.4964500069618225, -0.1143300011754036, 0.3389500081539154, -0.011226000264286995, -0.5471199750900269, -0.03536900132894516, -0.14465999603271484, 0.2701300084590912, -0.35097000002861023, 0.30667999386787415, -0.02149900048971176, -0.06069599837064743, 0.10163000226020813, 0.2157599925994873, 0.1030300036072731, -0.3534899950027466, 0.36061999201774597, 0.5887799859046936, 0.019238999113440514, -0.11711999773979187, -0.37487998604774475, 0.026211999356746674, -0.31185999512672424, -0.7884600162506104, -0.5422000288963318, 0.20931999385356903, 0.17147000133991241, -0.07445000112056732, -0.1945600062608719, -0.16325999796390533, -0.7314199805259705, 0.03800300136208534, -0.031727999448776245, -0.12144999951124191, -0.710349977016449, -0.023895999416708946, -0.486380010843277, -0.3182399868965149, -0.5367799997329712, 0.0008534800144843757, 0.5193099975585938, -0.36555999517440796, 0.1961899995803833, 0.1794700026512146, -0.22958000004291534, -0.10571999847888947, -0.027076000347733498, -1.073099970817566, 0.02722099982202053, 0.24690000712871552, -0.2182600051164627, 0.26201000809669495, 0.28016000986099243, -0.03397100046277046, -0.21981999278068542, -0.3693299889564514, -0.2293500006198883, -0.38499999046325684, -0.4455299973487854, 0.24758000671863556, -0.06132199987769127, 0.04191900044679642, -0.020969999954104424, 0.26374998688697815, 0.1073400005698204, 0.29844000935554504, 0.3240100145339966, -0.029343999922275543, 0.009302400052547455, 0.0010490999557077885, -0.07531300187110901, -0.2365500032901764, -0.40375998616218567, -0.4179899990558624, 0.05035100132226944, -0.17702999711036682, -0.3132599890232086, 0.31637999415397644, 0.20804999768733978, -0.041760001331567764, 0.34439998865127563, 0.526199996471405, -0.6460700035095215, 0.046192001551389694, 0.14108000695705414, 0.25881001353263855, 0.13539999723434448, 0.16461999714374542, -0.11857999861240387, -0.47971999645233154, 0.9663699865341187, -0.1929199993610382, -0.2896600067615509, -0.24931000173091888, 0.24544000625610352, 0.14725999534130096, -0.4544300138950348, 0.38071000576019287, -0.15876999497413635, -0.04935700073838234, 0.03273800015449524, -1.7218999862670898, -0.10072000324726105, 0.3262999951839447, 0.0659480020403862, -0.1782499998807907, -0.15693999826908112, -0.38319000601768494, -0.63059002161026, 0.4257200062274933, 0.3380900025367737, -0.5765299797058105, -0.307779997587204, -0.1611199975013733, 0.10366000235080719, -0.1624400019645691, 0.14755000174045563, -0.5565999746322632, -0.2078700065612793, 0.493149995803833, -0.2873300015926361, 0.268530011177063, 0.0483970008790493, -0.17013999819755554, -0.34769999980926514]"
swimming,"[0.6009699702262878, -0.266620010137558, -0.010459000244736671, -0.13562999665737152, 0.34779998660087585, 0.548740029335022, 0.07259800285100937, -0.12352000176906586, 0.41242000460624695, -0.3571000099182129, 0.2878200113773346, 0.47613999247550964, -0.2678399980068207, 0.23659999668598175, -0.003320500021800399, -0.12456999719142914, 0.37852999567985535, 0.02025200054049492, -0.03270399942994118, 0.04204599931836128, -0.2914299964904785, 0.10972999781370163, -0.2821600139141083, 0.1570100039243698, 0.7952100038528442, -0.2461100071668625, -0.027256999164819717, 0.5301700234413147, 0.12670999765396118, 0.629610002040863, -0.41791000962257385, 0.0014091000193729997, 0.261790007352829, 0.07296200096607208, -0.777459979057312, 0.5938699841499329, 0.35166001319885254, -0.09908600151538849, -0.42419999837875366, 0.7776700258255005, -0.09298799932003021, 0.06985100358724594, 0.06116500124335289, 0.3475399911403656, 0.23875999450683594, 0.4157400131225586, 0.7259899973869324, 0.776170015335083, 0.5452100038528442, 0.14452999830245972, -0.6555500030517578, 0.15117999911308289, 0.02877200022339821, -0.24911999702453613, 0.4164400100708008, 1.0541000366210938, -0.13716000318527222, 0.1175599992275238, 0.37303000688552856, 0.4042400121688843, 0.2647300064563751, 0.5178800225257874, -0.210099995136261, -0.03277299925684929, -0.25051000714302063, -0.33539000153541565, -0.479559987783432, 0.2676900029182434, -1.0049999952316284, -0.27713000774383545, -0.4156000018119812, -0.03678400069475174, -0.22617000341415405, -0.15449999272823334, -0.9365800023078918, -0.24156999588012695, 0.11428999900817871, 0.17149999737739563, 0.10922999680042267, -0.08250000327825546, 0.42311999201774597, -0.10796999931335449, -0.38220998644828796, -0.5625799894332886, 0.17479999363422394, -0.27156001329421997, -0.1119299978017807, -0.2532300055027008, 0.3604399859905243, -0.3343600034713745, 0.0682850033044815, 0.415910005569458, 0.34825000166893005, 0.1005299985408783, 0.6339799761772156, 0.33237001299858093, 0.3271600008010864, 0.11229000240564346, 0.09764400124549866, 0.04743700101971626, -0.5453000068664551, 0.03178099915385246, -0.03610999882221222, -0.21863000094890594, -0.179749995470047, 0.5312399864196777, 0.5300099849700928, -0.746999979019165, -0.18019999563694, 0.24732999503612518, -0.7450799942016602, 0.27243998646736145, 0.022912999615073204, -0.12612999975681305, -0.16056999564170837, 0.1962299942970276, -0.188400000333786, 0.37860000133514404, -0.21039000153541565, 0.30689001083374023, 0.2055100053548813, 0.2524600028991699, 0.16234000027179718, 0.19431999325752258, 0.33524999022483826, 0.4536899924278259, -0.41124001145362854, 0.13620999455451965, -0.610729992389679, -0.2018900066614151, -0.8942800164222717, -0.15936000645160675, 0.21669000387191772, 0.1402900069952011, -0.1836100071668625, -0.07296500355005264, 0.08729200065135956, -0.3005000054836273, -0.8079100251197815, 0.22342999279499054, -0.2643899917602539, -0.5832700133323669, 0.6656200289726257, -0.24424999952316284, -0.3682999908924103, -0.6665499806404114, 0.39465001225471497, 0.27628999948501587, 0.4164699912071228, 0.64274001121521, 0.011266999877989292, 0.02943900041282177, -0.10220000147819519, -0.4585599899291992, 0.4289500117301941, -0.4978800117969513, -0.660539984703064, 0.1706800013780594, 0.18501000106334686, 0.6406499743461609, 0.36513999104499817, 0.07075999677181244, 0.24512000381946564, -0.3440600037574768, 0.0831810012459755, -0.41547998785972595, 0.08724000304937363, 0.41672998666763306, 0.2030699998140335, -0.2547599971294403, -0.148389995098114, 0.3404499888420105, -0.06856799870729446, 0.2142699956893921, 0.055222999304533005, 0.05007300153374672, 0.3890799880027771, 0.4384799897670746, 0.2782000005245209, 0.1392499953508377, 0.14264999330043793, 0.17272000014781952, 0.4385400116443634, -0.2358900010585785, 0.750220000743866, -0.03265099972486496, 0.2561199963092804, 0.24406999349594116, 0.1265600025653839, -0.46031999588012695, 0.2871899902820587, 0.1462000012397766, -0.9469199776649475, -0.737309992313385, -0.34060001373291016, 0.29853999614715576, 0.3530600070953369, -0.087117999792099, -0.09843800216913223, -0.3687799870967865, 0.9182199835777283, 0.38787999749183655, -0.6787599921226501, -0.3478800058364868, -0.5317699909210205, 0.19612999260425568, -0.21562999486923218, -0.6177200078964233, -0.48322001099586487, 0.274260014295578, 0.05807799845933914, 0.16853000223636627, -0.6598100066184998, -0.2501400113105774, 0.21160000562667847, 0.28349998593330383, -0.0945030003786087, -0.600059986114502, -0.1943099945783615, -0.6118599772453308, 0.8493599891662598, -0.7336500287055969, -0.18995000422000885, -0.8570399880409241, 0.4117099940776825, -0.44301000237464905, -0.41604000329971313, -0.2660199999809265, -0.3919700086116791, -0.11433999985456467, 0.7605999708175659, 0.017309000715613365, 0.8500499725341797, -0.6505100131034851, 0.02723800018429756, -0.0027960999868810177, 0.21739999949932098, 0.6766600012779236, 0.4925900101661682, 0.1936900019645691, 0.29638001322746277, 0.4483500123023987, -0.21243999898433685, 0.4718399941921234, -0.6099399924278259, 0.011424999684095383, -0.10126999765634537, 0.05947500094771385, -0.7757700085639954, 0.14858999848365784, 0.3684200048446655, -0.5671700239181519, 0.24195000529289246, -0.0846790000796318, 0.23103000223636627, -0.49108999967575073, 0.51419997215271, -0.06411600112915039, 0.11005000025033951, -0.17371000349521637, -0.33623000979423523, -0.6596099734306335, -0.2210800051689148, -0.7872599959373474, -0.20362000167369843, 0.5426899790763855, -0.43027999997138977, 0.21217000484466553, -0.8944399952888489, -0.1872200071811676, -0.16992999613285065, -0.3610599935054779, 0.05279700085520744, 0.5006700158119202, 0.8687499761581421, -0.3397600054740906, -1.8075000047683716, 0.01826700009405613, -0.33820000290870667, 0.076664999127388, -0.04395899921655655, -0.4637700021266937, -0.03884899988770485, -0.22936999797821045, -0.27880001068115234, -0.07934699952602386, -0.7201600074768066, 0.010449999943375587, -0.36713001132011414, -0.3950200080871582, -0.519860029220581, 0.7597500085830688, -0.5600699782371521, -0.37872999906539917, -0.22807000577449799, -0.8548099994659424, -0.017913000658154488, 0.26752999424934387, 0.12918999791145325, -0.3143799901008606]"
singing,"[-0.2805599868297577, 0.13277000188827515, -0.2740800082683563, -0.13715000450611115, -0.5849999785423279, -0.1423500031232834, -0.1513500064611435, -0.07606899738311768, -0.4120500087738037, -0.15670999884605408, -0.16347000002861023, 0.19383999705314636, -0.28119000792503357, 0.35168999433517456, 0.4438199996948242, -0.3370400071144104, 0.38106000423431396, -0.3360300064086914, 0.4612500071525574, 0.4015499949455261, -0.10179000347852707, 0.41826000809669495, -0.33842000365257263, 0.4219599962234497, -0.12026999890804291, 0.19984999299049377, 0.05916000157594681, -0.6933000087738037, -0.29010000824928284, 0.8711000084877014, -0.5117800235748291, -0.5160899758338928, -0.355430006980896, -0.22687000036239624, -0.8382499814033508, -0.03726800158619881, -0.036274999380111694, -0.09531299769878387, 0.23491999506950378, 0.09383600205183029, -0.14435000717639923, -0.40685999393463135, -0.27347999811172485, 0.04807199910283089, 0.3452099859714508, 0.5093200206756592, 0.5591800212860107, 0.5945500135421753, 0.7528700232505798, 0.15185000002384186, 0.09861999750137329, 0.14941999316215515, -0.25470998883247375, 0.37825000286102295, -0.35308000445365906, 0.46988001465797424, 0.44749000668525696, -0.363290011882782, 0.3826200067996979, 0.05111100152134895, 0.4639500081539154, 0.008569300174713135, 0.632070004940033, 0.5101199746131897, 0.014383000321686268, -0.3198699951171875, 0.522350013256073, 0.39649999141693115, 0.17757999897003174, 0.52360999584198, -0.7429100275039673, -0.8678799867630005, -0.3740600049495697, 0.3734099864959717, 0.19380000233650208, -0.25964000821113586, 0.45719999074935913, 0.28751999139785767, 0.21428999304771423, -0.3434399962425232, 0.19343000650405884, 0.33243998885154724, -0.19203999638557434, -0.3163500130176544, -0.17087000608444214, 0.2895599901676178, -0.009782499633729458, 0.1331000030040741, -0.014360000379383564, 0.361409991979599, 0.3104099929332733, 0.053015999495983124, -0.269540011882782, -0.09786999970674515, -0.11623000353574753, -0.21699999272823334, -0.08190099895000458, -0.75382000207901, -0.9493600130081177, -0.06875500082969666, 0.07500600069761276, 0.5247499942779541, 0.10922999680042267, -0.6529099941253662, -0.2998499870300293, 0.282260000705719, 0.07319200038909912, -0.03378999978303909, -0.02385300025343895, 0.009121599607169628, 0.2153100073337555, 0.2913599908351898, 0.6600800156593323, 0.809660017490387, 0.12037999927997589, -0.22578999400138855, -0.5168399810791016, 0.14837999641895294, -0.17244000732898712, -0.7373200058937073, -0.1959799975156784, 0.3800800144672394, 0.19248999655246735, -0.09345699846744537, -0.42340001463890076, -0.6564499735832214, 0.2242400050163269, -0.14593000710010529, -0.357450008392334, -0.3041599988937378, -0.41148999333381653, -0.5450199842453003, 0.38148999214172363, -0.3372899889945984, -0.12018000334501266, -0.09187699854373932, 0.11055999994277954, 0.297760009765625, 0.17589999735355377, 0.2880200147628784, -0.2603999972343445, -0.15974000096321106, -0.2826800048351288, -0.3421100080013275, 0.22349999845027924, -0.03528900071978569, -0.2772200107574463, 0.4400399923324585, 0.0813319981098175, 0.4418199956417084, -0.4968299865722656, 0.1747799962759018, 0.38457998633384705, 0.20858000218868256, 0.18336999416351318, 0.03183399885892868, -0.25707998871803284, 0.4757699966430664, 0.2833699882030487, 0.024836000055074692, 0.19181999564170837, -0.4244900047779083, 0.2987399995326996, 0.47036001086235046, -0.8422300219535828, 0.21770000457763672, -1.0127999782562256, 0.10106000304222107, 0.3654400110244751, -0.32462000846862793, -0.31108999252319336, 0.23614999651908875, 0.028572000563144684, 0.24186000227928162, -0.01567699946463108, -0.010913999751210213, 0.12695999443531036, -0.15397000312805176, -0.22221000492572784, 0.16290000081062317, -0.08958300203084946, -0.1264200061559677, 0.001196600031107664, -0.29728999733924866, -0.4364500045776367, -0.29886001348495483, -0.06578800082206726, 0.16234000027179718, -0.5639100074768066, -0.6371899843215942, -0.1584700047969818, -0.032538000494241714, -0.5820800065994263, -0.17431999742984772, 0.04945800080895424, 0.009284899570047855, -0.7323600053787231, -0.40347999334335327, 0.4011000096797943, -0.4711399972438812, 1.4433000087738037, 1.065999984741211, 0.35214000940322876, 0.21785999834537506, 0.03179899975657463, -0.08661700040102005, 0.2566399872303009, 0.21160000562667847, -0.18761999905109406, -0.5245599746704102, 0.2682400047779083, 0.2602599859237671, -0.06059499830007553, -0.10972999781370163, 0.2156900018453598, 0.6395900249481201, 0.37683001160621643, -0.27439001202583313, -0.49191999435424805, 0.09003199636936188, -0.02015499956905842, -0.1860000044107437, -0.41640999913215637, -0.3183799982070923, -0.06322400271892548, 0.2007399946451187, 0.22944000363349915, -0.24368000030517578, -0.020406000316143036, 0.28815001249313354, 0.15725000202655792, 0.026677999645471573, -0.5644800066947937, -0.45980000495910645, 0.4899199903011322, 0.11794999986886978, -0.06699299812316895, -0.21443000435829163, -0.5589900016784668, 0.01055699959397316, 0.03931200131773949, 0.1167600005865097, -0.5318300127983093, 0.35673999786376953, 0.2121800035238266, 0.29128000140190125, -0.38703998923301697, 0.14167000353336334, -0.4821699857711792, 0.45318999886512756, 0.2538999915122986, -0.4140799939632416, 0.06554099917411804, 0.48208001255989075, 0.5026100277900696, -0.09861300140619278, 0.4419899880886078, -0.3540300130844116, 0.19096000492572784, 0.17252999544143677, 0.29047998785972595, -0.45186999440193176, 0.28790000081062317, 0.042194999754428864, -0.054319001734256744, 0.41771000623703003, -0.23297999799251556, -0.49538999795913696, -0.12724000215530396, -0.24055999517440796, -0.024272000417113304, -0.2657099962234497, 0.444130003452301, -0.27781999111175537, 0.6091799736022949, -0.08439899981021881, -1.4609999656677246, -0.36959999799728394, -0.10057000070810318, -0.4279100000858307, -0.5200899839401245, 0.017563000321388245, -0.3452799916267395, -0.04835499823093414, -0.32236000895500183, 0.7453299760818481, -0.7420399785041809, 0.6361299753189087, 0.122809998691082, -0.16890999674797058, 0.028575999662280083, 0.1430400013923645, -0.2900499999523163, 0.22947999835014343, -0.018711000680923462, -0.09265699982643127, 0.28360000252723694, -0.09380999952554703, -0.43946000933647156, -0.3986800014972687]"
