axis,vec
large-small,"[-0.30590590834617615, -0.1854889839887619, -0.30619168281555176, 0.20376330614089966, -0.006264671683311462, -0.215378999710083, -0.22102200984954834, -0.24876494705677032, 0.680253267288208, -0.14273668825626373, -0.22786782681941986, -0.0010216633090749383, 0.08388165384531021, 0.2053133249282837, 0.07872233539819717, 0.6354267001152039, -0.0861833319067955, -0.07045932859182358, -0.08053866028785706, -0.17741499841213226, -0.06729400157928467, 0.3485606908798218, -0.23056332767009735, 0.13379500806331635, -0.1940566748380661, -0.3834303319454193, -0.09161832928657532, 0.05324466899037361, -0.18395334482192993, 0.23889301717281342, 0.3756866753101349, 0.0010916689643636346, 0.05810334160923958, 0.1217133179306984, 0.3502183258533478, 0.31069067120552063, 0.24727334082126617, 0.41022899746894836, 0.21971099078655243, -0.3642280101776123, -0.10205600410699844, 0.282041996717453, 0.04324332997202873, -0.056407999247312546, 0.4406540095806122, -0.31029632687568665, -0.27954667806625366, 0.2367430180311203, -0.09465033560991287, 0.11754733324050903, 0.06640332192182541, -0.19686667621135712, 0.5818930268287659, 0.2823193371295929, -0.028271004557609558, -0.13397200405597687, 0.07190332561731339, -0.31552767753601074, 0.3666299879550934, -0.2579316794872284, 0.31248101592063904, -0.20564699172973633, 0.37943363189697266, -0.08393233269453049, 0.15289665758609772, -0.08944732695817947, 0.31884434819221497, 0.01906268671154976, 0.13644999265670776, -0.03638926520943642, -0.1220444068312645, -0.05638289079070091, 0.1677791029214859, -0.06271924078464508, -0.23478268086910248, 0.09060466289520264, -0.15647266805171967, -0.10269667953252792, -0.24378032982349396, -0.02172665484249592, 0.09173006564378738, 0.18894065916538239, 0.10629533976316452, 0.5843503475189209, -0.23821566998958588, -0.25843700766563416, 0.11013301461935043, 0.01403404027223587, -0.2763456702232361, 0.2026723474264145, -0.01899299956858158, 0.12231067568063736, -0.055426668375730515, -0.11219865828752518, 0.299946665763855, -0.05874667689204216, 0.25808265805244446, 0.2707196772098541, -0.2127714604139328, 0.20324867963790894, 0.2706516683101654, -0.10692533105611801, -0.03145332634449005, -0.16323330998420715, -0.2253216952085495, -0.19818232953548431, 0.18289899826049805, -0.09953933209180832, 0.3650642931461334, 0.18916034698486328, 0.03002999722957611, 0.2472820281982422, 0.24657534062862396, -0.10722998529672623, -0.3071340024471283, -0.07914499938488007, 0.03709067031741142, 0.032119978219270706, 0.011846666224300861, 0.6811166405677795, -0.1227727010846138, 0.04159266874194145, 0.1463196575641632, -0.2699113190174103, -0.37771666049957275, 0.21429966390132904, 0.11261782795190811, 0.06895667314529419, 0.3987463414669037, 0.32033002376556396, -0.272194504737854, -0.696316659450531, 0.5704956650733948, 0.0978616401553154, 0.01945366896688938, 0.013730667531490326, 0.4270247220993042, 0.21538066864013672, -0.17437900602817535, -0.48287466168403625, 0.40995168685913086, 0.160563662648201, -0.3672555685043335, -0.1329379826784134, -0.4662276804447174, -0.024615898728370667, -0.11286134272813797, 0.1051713302731514, -0.19950300455093384, -0.04255199432373047, -0.23899531364440918, -0.5338656306266785, 0.019129997119307518, 0.003466342343017459, 0.07517001032829285, -0.04440665617585182, -0.022483328357338905, 0.2576858699321747, 0.26890134811401367, 0.22682632505893707, 0.31493136286735535, -0.3075689971446991, 0.004326669033616781, -0.2834964692592621, 0.011027996428310871, 0.08933135122060776, -0.32395100593566895, -0.10717067122459412, 0.1925736665725708, -0.1214502677321434, -0.21976225078105927, 0.09044566750526428, -0.11839333921670914, 0.6108636856079102, -0.330432653427124, -0.33143535256385803, -0.15235866606235504, 0.0011571161448955536, -0.21227999031543732, -0.10784266144037247, 0.035366665571928024, 0.10145965963602066, -0.27547964453697205, 0.05656467378139496, 0.2634713351726532, -0.019706258550286293, 0.364673376083374, -0.357308030128479, 0.15815065801143646, -0.08243579417467117, 0.031053317710757256, -0.12348631769418716, 0.37249600887298584, 0.12526501715183258, -0.28335124254226685, 0.1652873307466507, -0.012917001731693745, -0.3611483573913574, -0.5157933235168457, -0.2928840219974518, 0.13762666285037994, 0.2952723205089569, 0.263042688369751, 0.5561133027076721, 0.09068725258111954, -0.22175832092761993, -0.010403345339000225, -0.2104329913854599, -0.296783983707428, 0.40556100010871887, 0.14397664368152618, 0.0585550032556057, 0.21154268085956573, 0.21560899913311005, 0.12941166758537292, -0.3025583326816559, 0.3794209957122803, -0.35607364773750305, -0.549875020980835, 0.015193338505923748, -0.22515468299388885, -0.033530667424201965, -0.6097553372383118, 0.37261566519737244, 0.1749926656484604, 0.0028976339381188154, 0.2778596580028534, -0.1863633543252945, -0.02189333736896515, 0.07673699408769608, 0.13033001124858856, -0.3343753516674042, -0.04634666070342064, -0.1076376661658287, 0.21699456870555878, 0.1286109834909439, 0.09730266779661179, 0.1460869312286377, 0.008978992700576782, 0.10419700294733047, -0.14139199256896973, -0.3096129596233368, -0.006046995520591736, 0.2410839945077896, 0.34221339225769043, -0.1007266640663147, 0.21790432929992676, 0.03959999606013298, -0.6550480723381042, -0.03379667177796364, -0.013879001140594482, -0.1546349972486496, -0.018842661753296852, -0.059054676443338394, -0.03404001519083977, 0.6111800074577332, 0.5020833611488342, 0.09188001602888107, 0.22215165197849274, 0.00449003791436553, -0.08725133538246155, 0.08806198835372925, -0.6659786701202393, -0.4276866912841797, -0.00815333891659975, 0.06776665896177292, 0.03163867071270943, 0.1876993328332901, -0.21297407150268555, 0.28920334577560425, -0.33039364218711853, 0.03934532776474953, 0.18115998804569244, -0.11785098910331726, -0.3157999813556671, 0.3913603127002716, 0.16036665439605713, 0.009993334300816059, -0.22274601459503174, 0.058496326208114624, 0.20473331212997437, 0.19817334413528442, -0.23009954392910004, -0.33845698833465576, -0.12465175986289978, -0.24014799296855927, 0.3029490113258362, -0.06039534509181976, -0.2679356634616852, -0.03526299446821213, -0.08109772950410843, -0.23495173454284668, 0.12107967585325241, -0.08519166707992554, -0.5991280674934387, 0.08700898289680481, -0.13775654137134552, 0.323496013879776, 0.19772900640964508, 0.041860681027173996]"
strong-weak,"[-0.2406529039144516, 0.1917533129453659, 0.03029610775411129, -0.3242606818675995, 0.19412033259868622, -0.0948946550488472, 0.03518533334136009, 0.025844037532806396, -0.2738346755504608, -0.8849665522575378, 0.29118889570236206, 0.11515703052282333, 0.22146333754062653, 0.07194357365369797, -0.061747997999191284, -0.13489766418933868, -0.06630798429250717, 0.1618676781654358, -0.2937946915626526, 0.3480333387851715, -0.3297380208969116, -0.17174698412418365, 0.6763873100280762, 0.20423667132854462, 0.5077570080757141, 0.09983766078948975, -0.2120533436536789, -0.28877201676368713, 0.052980005741119385, -0.19582997262477875, -0.21845000982284546, 0.0265426654368639, -0.3119346499443054, -0.13713932037353516, -0.696340024471283, 0.16584666073322296, 0.043641332536935806, 0.1722099930047989, -0.36736664175987244, 0.08820667117834091, -0.15256810188293457, 0.5850833654403687, 0.41835665702819824, -0.2735486328601837, 0.03682667016983032, -0.08951500803232193, 0.12656275928020477, 0.2118290513753891, 0.17167623341083527, -0.03663165494799614, -0.3297690153121948, 0.16270114481449127, -0.10578754544258118, 0.3615146577358246, -0.5101083517074585, 0.39301034808158875, 0.1744423359632492, 0.09597331285476685, -0.34686100482940674, 0.03657000884413719, -0.19373232126235962, -0.11563098430633545, 0.04167566075921059, -0.30829301476478577, -0.13241861760616302, -0.28633666038513184, 0.1654636710882187, 0.14469867944717407, -0.16170631349086761, -0.11713999509811401, -0.0386066734790802, -0.3224523365497589, -0.07123266905546188, 0.28800666332244873, -0.47479701042175293, 0.02891198731958866, 0.20649369060993195, -0.3373899757862091, -0.17963434755802155, 0.1385449916124344, -0.12188000231981277, -0.05383632704615593, 0.274495005607605, -0.44743528962135315, 0.45948001742362976, -0.0703590139746666, -0.1601649969816208, -0.06785232573747635, 0.20961301028728485, -0.3482166528701782, 0.3777799904346466, -0.16820783913135529, 0.10993997007608414, 0.18664999306201935, -0.24614298343658447, -0.12026000022888184, -0.42703163623809814, -0.012320329435169697, -0.06476065516471863, -0.2802676856517792, -0.8179599642753601, 0.07813666015863419, -0.5066866874694824, -0.3424696922302246, 0.054241668432950974, 0.35670197010040283, 0.0926683321595192, 0.04166499152779579, -0.19140766561031342, -0.37165936827659607, 0.7690827250480652, -0.5951550602912903, 0.41438665986061096, 0.28785333037376404, -0.0682390034198761, -0.054612647742033005, -0.27863699197769165, -0.5012122988700867, -0.11832565814256668, -0.11934763938188553, 0.13694597780704498, 0.18493664264678955, 0.18168896436691284, -0.12217330932617188, -0.5392937064170837, 0.02732999064028263, 0.2196856588125229, 0.5370866656303406, -0.1595456749200821, -0.02923065423965454, 0.08969930559396744, 0.002234041690826416, -0.5447966456413269, -0.3593563139438629, -0.13707666099071503, 0.15023981034755707, -0.3010860085487366, 0.040857333689928055, 0.8447420001029968, 0.3064199984073639, -0.4089536666870117, -0.14033667743206024, 0.2883216440677643, -0.8357478976249695, 0.4744979441165924, -0.14300332963466644, -0.2785433232784271, -0.5271419882774353, 0.02019835077226162, 0.1497350037097931, 0.42360401153564453, 0.20781666040420532, 0.19766564667224884, 0.1329299956560135, 0.5282966494560242, -0.24537865817546844, -0.32281389832496643, 0.054708655923604965, -0.08051834255456924, -0.32599833607673645, -0.05201999843120575, 0.10354033857584, -0.3232339918613434, 0.26789700984954834, -0.10619034618139267, -0.1053103432059288, 0.26725998520851135, -0.01305234432220459, -0.05126853659749031, 0.6185399889945984, 0.7980599999427795, -0.5178136825561523, -0.30594000220298767, 0.27732333540916443, 0.4196806848049164, 0.32536864280700684, 0.03604200482368469, -0.3182550072669983, 0.1777999848127365, 0.09655492752790451, -0.22625337541103363, -0.04073001816868782, 0.2563023269176483, -0.10831665992736816, -0.04434766247868538, 0.048933375626802444, -0.212087020277977, 0.6620473265647888, -0.49162331223487854, 0.036170002073049545, -0.37982332706451416, 0.36721864342689514, -0.33107566833496094, 0.11379332095384598, 0.3843189775943756, -0.4168666899204254, -0.002301325323060155, 0.1295362263917923, -0.015886662527918816, 0.274115651845932, 0.4321800172328949, -0.3413639962673187, 0.347177654504776, -0.11860666424036026, -0.17836667597293854, 0.3038986921310425, -0.21443866193294525, 0.3014656603336334, -0.22875533998012543, 0.19007734954357147, 0.20565666258335114, -0.20395667850971222, 0.04087032005190849, -0.2490600347518921, -0.2868964970111847, -0.041680339723825455, -0.21182997524738312, 0.47168365120887756, -0.07805066555738449, -0.5637166500091553, 0.059887681156396866, 0.23182134330272675, -0.06695400923490524, -0.12973299622535706, -0.24094665050506592, -0.06268998235464096, -0.20374000072479248, 0.11426889896392822, 0.4992630183696747, -0.08204662054777145, -0.4758933484554291, 0.1322546750307083, 0.42053666710853577, -0.046799350529909134, -0.2743126451969147, 0.2361166626214981, 0.03166300058364868, -0.29893332719802856, -0.39139094948768616, 0.1307649165391922, 0.24076350033283234, -0.1582513302564621, 0.03604666143655777, 0.09393299371004105, -0.18945066630840302, -0.06680665910243988, 0.12256532907485962, 0.4317743480205536, -0.047983333468437195, -0.230487659573555, 0.12925666570663452, -0.41848304867744446, -0.15475600957870483, 0.14762066304683685, -0.5186219811439514, -0.4365970194339752, 0.33727768063545227, -0.2992536723613739, 0.17864222824573517, 0.6069777011871338, 0.011860326863825321, 0.40809202194213867, 0.1664583534002304, 0.23697000741958618, -0.2457050234079361, -0.09387499839067459, 0.012776334770023823, 0.3519413471221924, 0.024961106479167938, -0.2580013573169708, 0.09533599764108658, -0.45485296845436096, -0.5460333228111267, -0.12774835526943207, 0.34686267375946045, -0.2453780174255371, -0.6338933110237122, -0.04263334348797798, 0.18282665312290192, -0.40886664390563965, -0.2595060169696808, 0.18692338466644287, -0.13154058158397675, 0.18426667153835297, -0.07039633393287659, -0.05940166115760803, 0.12316963821649551, -0.28793635964393616, 0.429262638092041, -0.11003190279006958, -0.22797997295856476, 0.25584760308265686, -0.3005799949169159, 0.282075971364975, 0.4165966510772705, 0.6393833756446838, 0.3050999939441681, -0.4310086667537689, 0.061452340334653854, -0.41136863827705383]"
busy-idle,"[-0.42326268553733826, -0.16999934613704681, -0.016529997810721397, -0.040729671716690063, 0.14423932135105133, -0.008286944590508938, -0.2265239953994751, 0.2521350085735321, -0.310163289308548, -0.14235937595367432, -0.2605637013912201, 0.054418664425611496, 0.5944859981536865, 0.32173433899879456, -0.5225166082382202, -0.09828466176986694, -0.2911996841430664, -0.19634199142456055, -0.133626326918602, -0.04839034005999565, -0.0005930562620051205, -0.18477998673915863, 0.11078884452581406, 0.47198233008384705, -0.21559399366378784, 0.25159403681755066, -0.14037540555000305, -0.019349003210663795, -0.2579416334629059, 0.07738799601793289, 0.045562442392110825, -0.05231665447354317, -0.3582029640674591, 0.26059865951538086, -0.021410008892416954, -0.042832691222429276, 0.16004067659378052, 0.21404969692230225, -0.21154899895191193, -0.5129246711730957, 0.3622356951236725, -0.2622026801109314, 0.4429333209991455, 0.15746599435806274, -0.22897009551525116, 0.2950589954853058, 0.09680682420730591, 0.10985667258501053, 0.03369956836104393, 0.08987598866224289, -0.07235666364431381, 0.11052431911230087, -0.022806674242019653, 0.058118999004364014, 0.090358667075634, -0.05145534873008728, -0.20544572174549103, 0.14886267483234406, 0.08777432888746262, -0.28389501571655273, -0.007398684974759817, 0.013464669696986675, 0.26007333397865295, -0.11493577808141708, 0.21377332508563995, 0.07014033198356628, -0.35985997319221497, -0.1047043427824974, 0.016947997733950615, -0.36805030703544617, 0.0372299887239933, -0.6589999794960022, -0.2626035511493683, 0.22787578403949738, 0.22874732315540314, -0.11918887495994568, 0.16136790812015533, -0.036646682769060135, -0.16510432958602905, -0.37831369042396545, 0.08814866095781326, -0.029019998386502266, 0.23331467807292938, -0.14676831662654877, -0.04097198322415352, -0.12955500185489655, 0.014687170274555683, -0.5308753252029419, 0.47740229964256287, 0.25012364983558655, 0.3707999885082245, -0.2574363052845001, -0.2712149918079376, -0.040238019078969955, -0.045326340943574905, -0.33519330620765686, 0.08705932646989822, -0.38023170828819275, -0.10302233695983887, 0.05356200411915779, -0.7067599892616272, 0.12867332994937897, 0.13549081981182098, -0.07672666758298874, 0.13064001500606537, 0.25320664048194885, 0.8055799603462219, -0.07867234200239182, 0.29975268244743347, -0.11987199634313583, 0.26671668887138367, 0.040053341537714005, 0.24392001330852509, 0.14003266394138336, 0.15101566910743713, -0.2720789909362793, -0.08027400821447372, -0.386366605758667, -0.44442999362945557, -0.5532090067863464, -0.1957026571035385, 0.11912167072296143, 0.5839899182319641, -0.3498140275478363, -0.23778100311756134, -0.048731729388237, 0.39165031909942627, -0.20319867134094238, -0.05947465822100639, -0.34345200657844543, 0.32528233528137207, -0.26364532113075256, -0.2963036596775055, -0.0033000807743519545, 0.36460065841674805, -0.11491098999977112, -0.14133332669734955, 0.36300501227378845, 0.09548500925302505, 0.2625943124294281, -0.03777249529957771, 0.2599230110645294, -0.17928700149059296, 0.46513763070106506, 0.2581574618816376, -0.21576166152954102, -0.33520999550819397, -0.1641153246164322, -0.34203067421913147, 0.07238200306892395, 0.4668866693973541, -0.1674870252609253, 0.4644346237182617, 0.12906335294246674, 0.13258250057697296, -0.3159153461456299, -0.45890533924102783, -0.10925199836492538, 0.03525330498814583, -0.04298466071486473, -0.11250966787338257, 0.06794852018356323, -0.04721701145172119, -0.05206601321697235, 0.14722533524036407, -0.09609229117631912, 0.05744664743542671, -0.019079333171248436, 0.4011100232601166, 0.4503166973590851, 0.14875124394893646, -0.41430631279945374, 0.016393007710576057, -0.17191660404205322, 0.2570990025997162, 0.6195900440216064, -0.16144567728042603, -0.7286040186882019, -0.07828100770711899, 0.3394128382205963, -0.4029117524623871, -0.49902665615081787, -0.09039166569709778, 0.274005264043808, 0.08349766582250595, 0.308368980884552, -0.5421599745750427, 0.3326500356197357, -0.35048964619636536, -0.4393133223056793, 0.49445533752441406, -0.020033663138747215, -0.6650999188423157, 0.4013669788837433, -0.20407207310199738, 0.08734766393899918, 0.08677000552415848, 0.25003165006637573, -0.18249768018722534, -0.10335999727249146, 0.19975996017456055, 0.022870665416121483, 0.13540007174015045, 0.04793333634734154, -0.04793699085712433, 0.4173663556575775, 0.09120666980743408, 0.0933646634221077, 0.15890035033226013, 0.2924373149871826, 0.10261733084917068, 0.5612766146659851, 0.48641666769981384, -0.286489337682724, 0.30025699734687805, 0.06351766735315323, 0.23619098961353302, -0.0033646326046437025, -0.010049005039036274, 0.10455667227506638, 0.7988200187683105, -0.14297668635845184, 0.13506771624088287, 0.1613440066576004, 0.4263981878757477, 0.21133971214294434, -0.6340932846069336, 0.037686653435230255, 0.3341118097305298, -0.06484200805425644, -0.16900664567947388, 0.2272139936685562, 0.3389483392238617, 0.38555002212524414, 0.21314097940921783, -0.192066952586174, 0.12538567185401917, 0.15615598857402802, 0.061394672840833664, 0.4702899754047394, -0.3162766993045807, -0.06812519580125809, 0.0789453461766243, 0.07781631499528885, 0.08637166023254395, -0.06562335044145584, 0.3090369403362274, -0.023949667811393738, 0.10834499448537827, 0.36438634991645813, 0.021096646785736084, -0.1544003188610077, -0.258056640625, 0.29527997970581055, -0.05154665187001228, -0.07133332639932632, 0.0009123285417445004, 0.10681033134460449, -0.04610450193285942, 0.4079326093196869, -0.24418997764587402, 0.32861199975013733, 0.39961767196655273, 0.1357399970293045, 0.30191799998283386, 0.016168665140867233, -0.3484853506088257, -0.27142465114593506, 0.03445200249552727, -0.10897263884544373, 0.002762332558631897, 0.18477903306484222, 0.26250767707824707, 0.26907965540885925, 0.043460022658109665, -0.11286532878875732, -0.060466665774583817, 0.11621000617742538, -0.18748001754283905, -0.0582803338766098, -0.12850134074687958, -0.019145669415593147, 0.07231902331113815, 0.23638999462127686, -0.2157600373029709, -0.09154000133275986, -0.3693067133426666, 0.2226853370666504, -0.01812632940709591, -0.21237432956695557, 0.22284667193889618, 0.0879020094871521, 0.033204335719347, -0.43626999855041504, 0.3268890380859375, 0.4062666893005371, -0.255611389875412, -0.08524253219366074, 0.49196335673332214, 0.0024656702298671007]"
scary-soothing,"[0.09731242805719376, 0.59074467420578, 0.0545223243534565, 0.1512233167886734, 0.344873309135437, 0.36452868580818176, 0.27184465527534485, 0.0923033282160759, -0.40252336859703064, -0.10417664796113968, 0.03602200374007225, -0.15366600453853607, 0.07063400000333786, 0.5478756427764893, -0.26169565320014954, -0.3072836399078369, 0.028227001428604126, -0.048106659203767776, -0.08606699854135513, -0.3810783624649048, 0.4970710277557373, -0.027456333860754967, 0.08226001262664795, -0.011018658988177776, 0.42082273960113525, 0.24680864810943604, 0.5144223570823669, -0.20287249982357025, 0.2495851367712021, -0.16803215444087982, 0.15239335596561432, 0.29929667711257935, -0.4261293411254883, -0.22708429396152496, -0.08477699011564255, -0.12490332126617432, -0.3779703378677368, 0.06785299628973007, -0.3230009973049164, 0.25314798951148987, 0.2905973494052887, 0.07877898961305618, 0.20037400722503662, 0.0162366833537817, -0.04716666042804718, -0.11861898750066757, -0.1625799983739853, -0.34021469950675964, 0.40121331810951233, 0.005400667432695627, 0.11315665394067764, 0.25111475586891174, -0.39554932713508606, 0.1146383285522461, 0.3665006458759308, -0.05696599557995796, -0.07399118691682816, -0.3026173412799835, 0.15558333694934845, -0.27599048614501953, -0.46825268864631653, -0.1607629954814911, -0.28688833117485046, 0.4510589838027954, -0.5469575524330139, -0.003205339191481471, 0.13005666434764862, -0.28246167302131653, 0.06210331246256828, -0.5393087267875671, -0.26122668385505676, 0.40273532271385193, -0.1059216633439064, 0.1393766701221466, -0.30525869131088257, -0.039867013692855835, -0.2567073404788971, 0.19753630459308624, -0.3206240236759186, 0.3035280108451843, -0.02934100665152073, -0.06886136531829834, 0.6406167149543762, 0.296249121427536, -0.3033756613731384, 0.3296123445034027, 0.3488486707210541, 0.15444199740886688, 0.1390390247106552, 0.15990133583545685, -0.25401702523231506, 0.09996633976697922, -0.127919003367424, -0.1507279872894287, -0.1532759815454483, 0.14691831171512604, -0.6354510188102722, 0.09837034344673157, 0.1777603179216385, -0.6631399989128113, -0.3970753252506256, 0.24212564527988434, 0.3545866906642914, 0.25404900312423706, -0.00028534108423627913, -0.4061133563518524, 0.464099645614624, 0.0876300111413002, 0.3820376396179199, 0.532813310623169, 0.01313566043972969, -0.45892134308815, -0.41467800736427307, -0.20194898545742035, 0.7898287177085876, 0.21946032345294952, 0.015937993302941322, 0.30595698952674866, -0.16296033561229706, 0.4962633550167084, 0.28327932953834534, -0.021277332678437233, 0.24329133331775665, 0.47722670435905457, 0.11521334201097488, 0.10596200823783875, 0.05783667042851448, 0.1419123262166977, 0.22160202264785767, -0.013340647332370281, -0.12066865712404251, -0.05392799898982048, -0.14397531747817993, -0.1208299994468689, 0.12354332953691483, 0.06863966584205627, -0.05415666103363037, 0.28811731934547424, -0.3164910078048706, 0.6075566411018372, 0.11443299055099487, -0.06412001699209213, -0.410047322511673, 0.09297733753919601, -0.03504733368754387, -0.05601401999592781, -0.02602243423461914, 0.6424466967582703, 0.2428726702928543, -0.145890012383461, 0.5407289862632751, -0.244693323969841, -0.3385426700115204, -0.5811467170715332, -0.26342666149139404, -0.08000900596380234, 0.203629732131958, 0.5007932782173157, -0.17166298627853394, 0.012259989976882935, 0.058446671813726425, -0.03460735082626343, -0.25447264313697815, -0.26139530539512634, -0.06384000182151794, -0.26841500401496887, -0.15417467057704926, -0.33462533354759216, -0.38711002469062805, -0.4880543053150177, 0.2510203421115875, -0.017731375992298126, -0.37071430683135986, 0.1878756731748581, -0.38870969414711, -0.04546666517853737, -0.14224432408809662, -0.07481032609939575, 0.1665770262479782, -0.405385822057724, 0.2587219774723053, 0.11203896999359131, 0.19736166298389435, -0.009328329004347324, 0.17885668575763702, -0.7258732914924622, 0.25827667117118835, -0.31180334091186523, 0.5797899961471558, 0.21084333956241608, -0.2825753390789032, -0.1528356820344925, 0.8573140501976013, 0.1742429882287979, 0.19917874038219452, 0.4051046669483185, -0.37501534819602966, -0.3475736379623413, 0.366060346364975, 0.03725576773285866, 0.15488867461681366, -0.19039998948574066, -0.2502420246601105, -0.21031665802001953, -0.4995723068714142, 0.5523599982261658, 0.4386466443538666, -0.2068759948015213, 0.3466923236846924, -0.42649757862091064, -0.40724703669548035, 0.0026123225688934326, 0.23865997791290283, 0.007138004992157221, -0.1724473237991333, -0.6989686489105225, -0.08794235438108444, 0.4602149724960327, -0.042799994349479675, -0.08406666666269302, -0.8378440737724304, -0.036204662173986435, 0.45730164647102356, 0.08725998550653458, 0.0864579975605011, 0.06415233016014099, 0.0963066816329956, -0.34397998452186584, -0.24381087720394135, 0.15978799760341644, -0.4804140031337738, -0.27721166610717773, -0.8998072743415833, -0.07929034531116486, -0.43336665630340576, -0.06991332769393921, -0.18548667430877686, 0.6461600661277771, 0.16157034039497375, -0.11768629401922226, 0.5760416388511658, -0.19811733067035675, 0.6777316927909851, -0.14068664610385895, -0.2665223181247711, -0.043635010719299316, 0.4260309040546417, -0.35705137252807617, -0.1332699954509735, -0.07343100756406784, -0.2523299753665924, -0.0008233388070948422, -0.894843339920044, -0.5791009664535522, 0.3373120129108429, 0.036708980798721313, 0.147396981716156, -0.49878135323524475, -0.5449199676513672, 0.17879585921764374, 0.3155170977115631, -0.02262934111058712, -0.5053911805152893, -0.1269003301858902, 0.44034233689308167, -0.07167134433984756, -0.45222100615501404, -0.2362913340330124, 0.0019156584748998284, 0.3054766356945038, 0.10101300477981567, 0.40665051341056824, 0.19552600383758545, 0.3094223439693451, 0.21921731531620026, 0.3811986446380615, -0.16076000034809113, -0.08815333992242813, -0.4682011902332306, 0.1890159398317337, 0.02237299084663391, -0.07129666209220886, 0.13790801167488098, -0.37281668186187744, -0.024459997192025185, 0.020776668563485146, -0.12979300320148468, -0.11186765879392624, -0.24079298973083496, 0.14992399513721466, 0.01373213529586792, -0.3730349838733673, -0.2721633315086365, -0.2903999984264374, -0.14391998946666718, -0.010150010697543621, -0.10325232893228531, -0.015420329757034779, 0.6339976787567139, -0.2931716740131378]"
