item
Alligator
Ant
Bee
Bird
Butterfly
Camel
Cheetah
Chicken
Chipmunk
Crow
Dog
Dolphin
Duck
Elephant
Goldfish
Hamster
Hawk
Horse
Human
Mammoth
Monkey
Moose
Mosquito
Mouse
Orca
Penguin
Pig
Rhino
Salmon
Pinniped
Snake
Swordfish
Tiger
Turtle
Whale
